anio,region_id,region_display,indicador,medida,unidad,valor,unidad_original,dimension,agregacion
2023,09,La Araucanía,cuentas_corrientes,stock,unidades,152652.0,número de cuentas de personas naturales,conteo,total
2024,09,La Araucanía,cuentas_corrientes,stock,unidades,163684.83333333334,número de cuentas de personas naturales,conteo,total
2025,09,La Araucanía,cuentas_corrientes,stock,unidades,167918.58333333334,número de cuentas de personas naturales,conteo,total
2009,10,Los Lagos,cuentas_corrientes,stock,unidades,63324.166666666664,número de cuentas de personas naturales,conteo,total
2010,10,Los Lagos,cuentas_corrientes,stock,unidades,63918.666666666664,número de cuentas de personas naturales,conteo,total
2011,10,Los Lagos,cuentas_corrientes,stock,unidades,67541.66666666667,número de cuentas de personas naturales,conteo,total
2012,10,Los Lagos,cuentas_corrientes,stock,unidades,72447.66666666667,número de cuentas de personas naturales,conteo,total
2013,10,Los Lagos,cuentas_corrientes,stock,unidades,79258.5,número de cuentas de personas naturales,conteo,total
2014,10,Los Lagos,cuentas_corrientes,stock,unidades,85401.75,número de cuentas de personas naturales,conteo,total
2015,10,Los Lagos,cuentas_corrientes,stock,unidades,92816.25,número de cuentas de personas naturales,conteo,total
2016,10,Los Lagos,cuentas_corrientes,stock,unidades,100416.83333333333,número de cuentas de personas naturales,conteo,total
2017,10,Los Lagos,cuentas_corrientes,stock,unidades,107104.5,número de cuentas de personas naturales,conteo,total
2018,10,Los Lagos,cuentas_corrientes,stock,unidades,114907.75,número de cuentas de personas naturales,conteo,total
2019,10,Los Lagos,cuentas_corrientes,stock,unidades,125108.5,número de cuentas de personas naturales,conteo,total
2020,10,Los Lagos,cuentas_corrientes,stock,unidades,132549.41666666666,número de cuentas de personas naturales,conteo,total
2021,10,Los Lagos,cuentas_corrientes,stock,unidades,140391.16666666666,número de cuentas de personas naturales,conteo,total
2022,10,Los Lagos,cuentas_corrientes,stock,unidades,144228.33333333334,número de cuentas de personas naturales,conteo,total
2023,10,Los Lagos,cuentas_corrientes,stock,unidades,162783.5,número de cuentas de personas naturales,conteo,total
2024,10,Los Lagos,cuentas_corrientes,stock,unidades,209977.58333333334,número de cuentas de personas naturales,conteo,total
2025,10,Los Lagos,cuentas_corrientes,stock,unidades,260753.5,número de cuentas de personas naturales,conteo,total
2009,11,Aysén,cuentas_corrientes,stock,unidades,11362.5,número de cuentas de personas naturales,conteo,total
2010,11,Aysén,cuentas_corrientes,stock,unidades,11884.083333333334,número de cuentas de personas naturales,conteo,total
2011,11,Aysén,cuentas_corrientes,stock,unidades,12594.416666666666,número de cuentas de personas naturales,conteo,total
2012,11,Aysén,cuentas_corrientes,stock,unidades,13306.333333333334,número de cuentas de personas naturales,conteo,total
2013,11,Aysén,cuentas_corrientes,stock,unidades,14232.083333333334,número de cuentas de personas naturales,conteo,total
2014,11,Aysén,cuentas_corrientes,stock,unidades,15315.166666666666,número de cuentas de personas naturales,conteo,total
2015,11,Aysén,cuentas_corrientes,stock,unidades,16424.0,número de cuentas de personas naturales,conteo,total
2016,11,Aysén,cuentas_corrientes,stock,unidades,17530.833333333332,número de cuentas de personas naturales,conteo,total
2017,11,Aysén,cuentas_corrientes,stock,unidades,18551.083333333332,número de cuentas de personas naturales,conteo,total
2018,11,Aysén,cuentas_corrientes,stock,unidades,19563.5,número de cuentas de personas naturales,conteo,total
2019,11,Aysén,cuentas_corrientes,stock,unidades,20844.333333333332,número de cuentas de personas naturales,conteo,total
2020,11,Aysén,cuentas_corrientes,stock,unidades,21659.666666666668,número de cuentas de personas naturales,conteo,total
2021,11,Aysén,cuentas_corrientes,stock,unidades,22566.75,número de cuentas de personas naturales,conteo,total
2022,11,Aysén,cuentas_corrientes,stock,unidades,22881.333333333332,número de cuentas de personas naturales,conteo,total
2023,11,Aysén,cuentas_corrientes,stock,unidades,24078.416666666668,número de cuentas de personas naturales,conteo,total
2024,11,Aysén,cuentas_corrientes,stock,unidades,26063.166666666668,número de cuentas de personas naturales,conteo,total
2025,11,Aysén,cuentas_corrientes,stock,unidades,27015.083333333332,número de cuentas de personas naturales,conteo,total
2009,12,Magallanes,cuentas_corrientes,stock,unidades,27131.583333333332,número de cuentas de personas naturales,conteo,total
2010,12,Magallanes,cuentas_corrientes,stock,unidades,27747.5,número de cuentas de personas naturales,conteo,total
2011,12,Magallanes,cuentas_corrientes,stock,unidades,29022.75,número de cuentas de personas naturales,conteo,total
2012,12,Magallanes,cuentas_corrientes,stock,unidades,30681.416666666668,número de cuentas de personas naturales,conteo,total
2013,12,Magallanes,cuentas_corrientes,stock,unidades,32405.75,número de cuentas de personas naturales,conteo,total
2014,12,Magallanes,cuentas_corrientes,stock,unidades,34406.666666666664,número de cuentas de personas naturales,conteo,total
2015,12,Magallanes,cuentas_corrientes,stock,unidades,36644.416666666664,número de cuentas de personas naturales,conteo,total
2016,12,Magallanes,cuentas_corrientes,stock,unidades,38854.833333333336,número de cuentas de personas naturales,conteo,total
2017,12,Magallanes,cuentas_corrientes,stock,unidades,41056.083333333336,número de cuentas de personas naturales,conteo,total
2018,12,Magallanes,cuentas_corrientes,stock,unidades,43541.0,número de cuentas de personas naturales,conteo,total
2019,12,Magallanes,cuentas_corrientes,stock,unidades,46448.916666666664,número de cuentas de personas naturales,conteo,total
2020,12,Magallanes,cuentas_corrientes,stock,unidades,48403.333333333336,número de cuentas de personas naturales,conteo,total
2021,12,Magallanes,cuentas_corrientes,stock,unidades,50811.833333333336,número de cuentas de personas naturales,conteo,total
2022,12,Magallanes,cuentas_corrientes,stock,unidades,51381.0,número de cuentas de personas naturales,conteo,total
2023,12,Magallanes,cuentas_corrientes,stock,unidades,55601.75,número de cuentas de personas naturales,conteo,total
2024,12,Magallanes,cuentas_corrientes,stock,unidades,61638.083333333336,número de cuentas de personas naturales,conteo,total
2025,12,Magallanes,cuentas_corrientes,stock,unidades,63580.25,número de cuentas de personas naturales,conteo,total
2009,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,1161755.3333333333,número de cuentas de personas naturales,conteo,total
2010,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,1243206.1666666667,número de cuentas de personas naturales,conteo,total
2011,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,1402392.4166666667,número de cuentas de personas naturales,conteo,total
2012,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,1534396.0,número de cuentas de personas naturales,conteo,total
2013,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,1646689.0833333333,número de cuentas de personas naturales,conteo,total
2014,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,1772847.0,número de cuentas de personas naturales,conteo,total
2015,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,1915785.6666666667,número de cuentas de personas naturales,conteo,total
2016,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,2084400.0,número de cuentas de personas naturales,conteo,total
2017,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,2241918.8333333335,número de cuentas de personas naturales,conteo,total
2018,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,2419853.9166666665,número de cuentas de personas naturales,conteo,total
2019,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,2625637.0833333335,número de cuentas de personas naturales,conteo,total
2020,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,2808339.5833333335,número de cuentas de personas naturales,conteo,total
2021,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,3570743.5,número de cuentas de personas naturales,conteo,total
2022,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,4853004.5,número de cuentas de personas naturales,conteo,total
2023,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,6327415.916666667,número de cuentas de personas naturales,conteo,total
2024,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,8097047.083333333,número de cuentas de personas naturales,conteo,total
2025,13,Metropolitana de Santiago,cuentas_corrientes,stock,unidades,9698001.833333334,número de cuentas de personas naturales,conteo,total
2009,14,Los Ríos,cuentas_corrientes,stock,unidades,29005.25,número de cuentas de personas naturales,conteo,total
2010,14,Los Ríos,cuentas_corrientes,stock,unidades,30281.833333333332,número de cuentas de personas naturales,conteo,total
2011,14,Los Ríos,cuentas_corrientes,stock,unidades,32249.916666666668,número de cuentas de personas naturales,conteo,total
2012,14,Los Ríos,cuentas_corrientes,stock,unidades,34618.25,número de cuentas de personas naturales,conteo,total
2013,14,Los Ríos,cuentas_corrientes,stock,unidades,37374.25,número de cuentas de personas naturales,conteo,total
2014,14,Los Ríos,cuentas_corrientes,stock,unidades,40272.833333333336,número de cuentas de personas naturales,conteo,total
2015,14,Los Ríos,cuentas_corrientes,stock,unidades,43679.083333333336,número de cuentas de personas naturales,conteo,total
2016,14,Los Ríos,cuentas_corrientes,stock,unidades,46885.416666666664,número de cuentas de personas naturales,conteo,total
2017,14,Los Ríos,cuentas_corrientes,stock,unidades,50078.75,número de cuentas de personas naturales,conteo,total
2018,14,Los Ríos,cuentas_corrientes,stock,unidades,53956.75,número de cuentas de personas naturales,conteo,total
2019,14,Los Ríos,cuentas_corrientes,stock,unidades,57838.0,número de cuentas de personas naturales,conteo,total
2020,14,Los Ríos,cuentas_corrientes,stock,unidades,59358.416666666664,número de cuentas de personas naturales,conteo,total
2021,14,Los Ríos,cuentas_corrientes,stock,unidades,62025.916666666664,número de cuentas de personas naturales,conteo,total
2022,14,Los Ríos,cuentas_corrientes,stock,unidades,61747.083333333336,número de cuentas de personas naturales,conteo,total
2023,14,Los Ríos,cuentas_corrientes,stock,unidades,67489.75,número de cuentas de personas naturales,conteo,total
2024,14,Los Ríos,cuentas_corrientes,stock,unidades,73567.08333333333,número de cuentas de personas naturales,conteo,total
2025,14,Los Ríos,cuentas_corrientes,stock,unidades,81801.08333333333,número de cuentas de personas naturales,conteo,total
2009,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,16510.083333333332,número de cuentas de personas naturales,conteo,total
2010,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,17660.5,número de cuentas de personas naturales,conteo,total
2011,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,19030.583333333332,número de cuentas de personas naturales,conteo,total
2012,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,20139.833333333332,número de cuentas de personas naturales,conteo,total
2013,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,21767.0,número de cuentas de personas naturales,conteo,total
2014,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,23736.5,número de cuentas de personas naturales,conteo,total
2015,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,26069.916666666668,número de cuentas de personas naturales,conteo,total
2016,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,27858.583333333332,número de cuentas de personas naturales,conteo,total
2017,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,29532.916666666668,número de cuentas de personas naturales,conteo,total
2018,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,31784.5,número de cuentas de personas naturales,conteo,total
2019,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,34257.583333333336,número de cuentas de personas naturales,conteo,total
2020,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,35573.333333333336,número de cuentas de personas naturales,conteo,total
2021,15,Arica y Parinacota,cuentas_corrientes,stock,unidades,37526.0,número de cuentas de personas naturales,conteo,total
